REASON,YEAR,AUTHOR,TITLE,JOURNAL,ISSN,PAGES,ISSUE,VOL,Y/N,NOTES,
,2018,"McCormack, Ursula M.; Curião, Tânia; Wilkinson, Toby; Metzler-Zebeli, Barbara U.; Reyer, Henry; Ryan, Tomas; Calderon-Diaz, Julia A.; Crispie, Fiona; Cotter, Paul D.; Creevey, Christopher J.; Gardiner, Gillian E.; Lawlor, Peadar G.",Fecal Microbiota Transplantation in Gestating Sows and Neonatal Offspring Alters Lifetime Intestinal Microbiota and Growth in Offspring,mSystems,2379-5077,e00134-17,3,3,Studies that met inclusion criteria and were included in analysis,,
,2018,"Robertson, Ruairi C.; Kaliannan, Kanakaraju; Strain, Conall R.; Ross, R. Paul; Stanton, Catherine; Kang, Jing X.",Maternal omega-3 fatty acids regulate offspring obesity through persistent modulation of gut microbiota,Microbiome,2049-2618,95,,6,Studies that met inclusion criteria and were included in analysis,,
,2018,"Shukla, Shantanu P.; Vogel, Heiko; Heckel, David G.; Vilcinskas, Andreas; Kaltenpoth, Martin",Burying beetles regulate the microbiome of carcasses and use it to transmit a core microbiota to their offspring,Molecular Ecology,0962-1083,1980-1991,8,27,Studies that met inclusion criteria and were included in analysis,,
,2018,"Srinivasan, Shyam Prakaash Bhagavata; Raipuria, Mukesh; Bahari, Hasnah; Kaakoush, Nadeem O.; Morris, Margaret J.",Impacts of Diet and Exercise on Maternal Gut Microbiota Are Transferred to Offspring,Frontiers in Endocrinology,1664-2392,716,,9,Studies that met inclusion criteria and were included in analysis,,
,2018,"Wilches, D. M.; Laird, R. A.; Fields, P. G.; Coghlin, P.; Floate, K. D.","Spiroplasma dominates the microbiome of khapra beetle: comparison with a congener, effects of life stage and temperature",Symbiosis,0334-5114,277-291,3,76,Studies that met inclusion criteria and were included in analysis,,
,2018,"Yeoman, Carl J.; Ishaq, Suzanne L.; Bichi, Elena; Olivo, Sarah K.; Lowe, James; Aldridge, Brian M.",Biogeographical Differences in the Influence of Maternal Microbial Sources on the Early Successional Development of the Bovine Neonatal Gastrointestinal tract,Scientific Reports,2045-2322,3197,,8,Studies that met inclusion criteria and were included in analysis,,
,2018,"Friedman, Jacob E.; Dobrinskikh, Evgenia; Alfonso-Garcia, Alba; Fast, Alexander; Janssen, Rachel C.; Soderborg, Taylor K.; Anderson, Aimee L.; Reisz, Julie A.; D'Alessandro, Angelo; Frank, Daniel N.; Robertson, Charles E.; de la Houssaye, Becky A.; Johnson, Linda K.; Orlicky, David J.; Wang, Xiaoxin X.; Levi, Moshe; Potma, Eric O.; El Kasmi, Karim C.; Jonscher, Karen R.",Pyrroloquinoline Quinone Prevents Developmental Programming of Microbial Dysbiosis and Macrophage Polarization to Attenuate Liver Fibrosis in Offspring of Obese Mice,Hepatology Communications,,313-328,3,2,Studies that met inclusion criteria and were included in analysis,,
,2019,"Beemelmanns, Anne; Poirier, Maude; Bayer, Till; Kuenzel, Sven; Roth, Olivia",Microbial embryonal colonization during pipefish male pregnancy,Scientific Reports,2045-2322,3,,9,Studies that met inclusion criteria and were included in analysis,,
,2019,"Bjoerk, Johannes R.; Diez-Vives, Cristina; Astudillo-Garcia, Carmen; Archie, Elizabeth A.; Montoya, Jose M.",Vertical transmission of sponge microbiota is inconsistent and unfaithful,Nature Ecology & Evolution,2397-334X,1172-1183,8,3,Studies that met inclusion criteria and were included in analysis,,
,2019,"Epstein, Hannah E.; Torda, Gergely; Munday, Philip L.; van Oppen, Madeleine J. H.",Parental and early life stage environments drive establishment of bacterial and dinoflagellate communities in a common coral,ISME Journal,1751-7362,1635-1638,6,13,Studies that met inclusion criteria and were included in analysis,,
,2019,"Grosser, Stefanie; Sauer, Jan; Paijmans, Anneke J.; Caspers, Barbara A.; Forcada, Jaume; Wolf, Jochen B. W.; Hoffman, Joseph I.","Fur seal microbiota are shaped by the social and physical environment, show mother-offspring similarities and are associated with host genetic quality",Molecular Ecology,1365-294X,2406-2422,9,28,Studies that met inclusion criteria and were included in analysis,,
,2019,"Jennings, Emily C.; Korthauer, Matthew W.; Hamilton, Trinity L.; Benoit, Joshua B.","Matrotrophic viviparity constrains microbiome acquisition during gestation in a live-bearing cockroach, Diploptera punctata",Ecology and Evolution,2045-7758,,18,9,Studies that met inclusion criteria and were included in analysis,,
,2019,"Korach-Rechtman, Hila; Freilich, Shay; Gerassy-Vainberg, Shiran; Buhnik-Rosenblau, Keren; Danin-Poleg, Yael; Bar, Haim; Kashi, Yechezkel",Murine Genetic Background Has a Stronger Impact on the Composition of the Gut Microbiota than Maternal Inoculation or Exposure to Unlike Exogenous Microbiota,Applied and Environmental Microbiology,0099-2240,e00826-19,18,85,Studies that met inclusion criteria and were included in analysis,,
,2019,"Lima, Svetlana Ferreira; Bicalho, Marcela Lucas de Souza; Bicalho, Rodrigo Carvalho",The Bos taurus maternal microbiome: Role in determining the progeny early-life upper respiratory tract microbiome and health,PloS One,1932-6203,e0208014,3,14,Studies that met inclusion criteria and were included in analysis,,
,2019,"Mason, Charles J.; Campbell, Alexander M.; Scully, Erin D.; Hoover, Kelli","Bacterial and Fungal Midgut Community Dynamics and Transfer Between Mother and Brood in the Asian Longhorned Beetle (Anoplophora glabripennis), an Invasive Xylophage",Microbial Ecology,1432-184X,230-242,1,77,Studies that met inclusion criteria and were included in analysis,,
,2019,"Prince, Amanda L.; Pace, Ryan M.; Dean, Tyler; Takahashi, Diana; Kievit, Paul; Friedman, Jacob E.; Aagaard, Kjersti M.",The development and ecology of the Japanese macaque gut microbiome from weaning to early adolescence in association with diet,American Journal of Primatology,1098-2345,e22980,10-11,81,Studies that met inclusion criteria and were included in analysis,,
,2019,"Sacristan-Soriano, Oriol; Winkler, Marina; Erwin, Patrick; Weisz, Jeremy; Harriott, Olivia; Heussler, Gary; Bauer, Emily; Marsden, Brittany West; Hill, April; Hill, Malcolm","Ontogeny of symbiont community structure in two carotenoid-rich, viviparous marine sponges: comparison of microbiomes and analysis of culturable pigmented heterotrophic bacteria",Environmental Microbiology Reports,1758-2229,249-261,2,11,Studies that met inclusion criteria and were included in analysis,,
,2019,"Warren, Matthew F.; Hallowell, Haley A.; Higgins, Keah V.; Liles, Mark R.; Hood, Wendy R.",Maternal Dietary Protein Intake Influences Milk and Offspring Gut Microbial Diversity in a Rat (Rattus norvegicus) Model,Nutrients,,2257,9,11,Studies that met inclusion criteria and were included in analysis,,
,2019,"Singer, Jeffrey R.; Blosser, Emily G.; Zindl, Carlene L.; Silberger, Daniel J.; Conlan, Sean; Laufer, Vincent A.; DiToro, Daniel; Deming, Clay; Kumar, Ranjit; Morrow, Casey D.; Segre, Julia A.; Gray, Michael J.; Randolph, David A.; Weaver, Casey T.",Preventing dysbiosis of the neonatal mouse intestinal microbiome protects against late-onset sepsis,Nature Medicine,1078-8956,1772-1782,11,25,Studies that met inclusion criteria and were included in analysis,,
,2019,"Bernasconi, Rachele; Stat, Michael; Koenders, Annette; Paparini, Andrea; Bunce, Michael; Huggett, Megan J.",Establishment of Coral-Bacteria Symbioses Reveal Changes in the Core Bacterial Community With Host Ontogeny,Frontiers in Microbiology,1664-302X,1529,,10,Studies that met inclusion criteria and were included in analysis,,
,2020,"Barden, Matthew; Richards-Rios, Peter; Ganda, Erika; Lenzi, Luca; Eccles, Richard; Neary, Joseph; Oultram, Joanne; Oikonomou, Georgios",Maternal influences on oral and faecal microbiota maturation in neonatal calves in beef and dairy production systems,Animal Microbiome,,31,1,2,Studies that met inclusion criteria and were included in analysis,,
,2020,"Chen, Cheng-Yu; Chen, Chih-Kuan; Chen, Yi-Ying; Fang, Andrew; Shaw, Grace Tzun-Wen; Hung, Chih-Ming; Wang, Daryi",Maternal gut microbes shape the early-life assembly of gut microbiota in passerine chicks via nests,Microbiome,2049-2618,129,1,8,Studies that met inclusion criteria and were included in analysis,,
,2020,"Damjanovic, Katarina; Menendez, Patricia; Blackall, Linda L.; van Oppen, Madeleine J. H.",Mixed-mode bacterial transmission in the common brooding coral Pocillopora acuta,Environmental Microbiology,1462-2912,397-412,1,22,Studies that met inclusion criteria and were included in analysis,,
,2020,"Damjanovic, Katarina; Menendez, Patricia; Blackall, Linda L.; van Oppen, Madeleine J. H.",Early Life Stages of a Common Broadcast Spawning Coral Associate with Specific Bacterial Communities Despite Lack of Internalized Bacteria,Microbial Ecology,0095-3628,706-719,3,79,Studies that met inclusion criteria and were included in analysis,,
,2020,"Greer, Jordan A.; Swei, Andrea; Vredenburg, Vance T.; Zink, Andrew G.",Parental Care Alters the Egg Microbiome of Maritime Earwigs,Microbial Ecology,0095-3628,920-934,4,80,Studies that met inclusion criteria and were included in analysis,,
,2020,"He, Jianwen; Zheng, Weijiang; Tao, Chengyuan; Guo, Huiduo; Xue, Yongqiang; Zhao, Ruqian; Yao, Wen",Heat stress during late gestation disrupts maternal microbial transmission with altered offspring's gut microbial colonization and serum metabolites in a pig model,Environmental Pollution,0269-7491,115111,,266,Studies that met inclusion criteria and were included in analysis,,
,2020,"Kimura, Ikuo; Miyamoto, Junki; Ohue-Kitano, Ryuji; Watanabe, Keita; Yamada, Takahiro; Onuki, Masayoshi; Aoki, Ryo; Isobe, Yosuke; Kashihara, Daiji; Inoue, Daisuke; Inaba, Akihiko; Takamura, Yuta; Taira, Satsuki; Kumaki, Shunsuke; Watanabe, Masaki; Ito, Masato; Nakagawa, Fumiyuki; Irie, Junichiro; Kakuta, Hiroki; Shinohara, Masakazu; Iwatsuki, Ken; Tsujimoto, Gozoh; Ohno, Hiroaki; Arita, Makoto; Itoh, Hiroshi; Hase, Koji",Maternal gut microbiota in pregnancy influences offspring metabolic phenotype in mice,Science (Washington D C),0036-8075,1002,6481,367,Studies that met inclusion criteria and were included in analysis,,
,2020,"Li, Yang; Liu, Haoyu; Zhang, Lijia; Yang, Yi; Lin, Yan; Zhuo, Yong; Fang, Zhengfeng; Che, Lianqiang; Feng, Bin; Xu, Shengyu; Li, Jian; Wu, De","Maternal Dietary Fiber Composition during Gestation Induces Changes in Offspring Antioxidative Capacity, Inflammatory Response, and Gut Microbiota in a Sow Model",International Journal of Molecular Sciences,,31,1,21,Studies that met inclusion criteria and were included in analysis,,
,2020,"Nyangahu, Donald D.; Darby, Matthew; Havyarimana, Enock; Brown, Bryan P.; Horsnell, William; Jaspan, Heather B.",Preconception helminth infection alters offspring microbiota and immune subsets in a mouse model,Parasite Immunology,1365-3024,e12721,9,42,Studies that met inclusion criteria and were included in analysis,,
,2020,"Oliveira, Bruno F. R.; Lopes, Isabelle R.; Canellas, Anna L. B.; Muricy, Guilherme; Dobson, Alan D. W.; Laport, Marinella S.",Not That Close to Mommy: Horizontal Transmission Seeds the Microbiome Associated with the Marine Sponge Plakina cyanorosea,Microorganisms,2076-2607,E1978,12,8,Studies that met inclusion criteria and were included in analysis,,
,2020,"van Best, N.; Rolle-Kampczyk, U.; Schaap, F. G.; Basic, M.; Damink, S. W. M. Olde; Bleich, A.; Savelkoul, P. H. M.; von Bergen, M.; Penders, J.; Hornef, M. W.",Bile acids drive the newborn's gut microbiota maturation,Nature Communications,2041-1723,3692,1,11,Studies that met inclusion criteria and were included in analysis,,
,2020,"Wu, Yujun; Zhang, Xiangyu; Tao, Shiyu; Pi, Yu; Han, Dandan; Ye, Hao; Feng, Cuiping; Zhao, Junying; Chen, Lijun; Wang, Junjun",Maternal supplementation with combined galactooligosaccharides and casein glycomacropeptides modulated microbial colonization and intestinal development of neonatal piglets,Journal of Functional Foods,1756-4646,104170,,74,Studies that met inclusion criteria and were included in analysis,,
,2020,"Zou, Xian; Liu, Guangbin; Meng, Fanming; Hong, Linjun; Li, Yaokun; Lian, Zhiquan; Yang, Zhenwei; Luo, Chenglong; Liu, Dewu",Exploring the Rumen and Cecum Microbial Community from Fetus to Adulthood in Goat,Animals,2076-2615,1639,9,10,Studies that met inclusion criteria and were included in analysis,,
,2020,"Brinkerhoff, R. Jory; Clark, Chris; Ocasio, Kelly; Gauthier, David T.; Hynes, Wayne L.",Factors affecting the microbiome of Ixodes scapularis and Amblyomma americanum,PLOS ONE,1932-6203,e0232398,5,15,Studies that met inclusion criteria and were included in analysis,,
,2020,"Ourry, Morgane; Lopez, Valérie; Hervé, Maxime; Lebreton, Lionel; Mougel, Christophe; Outreman, Yannick; Poinsot, Denis; Cortesero, Anne Marie",Long-lasting effects of antibiotics on bacterial communities of adult flies,FEMS microbiology ecology,1574-6941,fiaa028,4,96,Studies that met inclusion criteria and were included in analysis,,
,2020,"Soni, Krishnakant G.; Dike, Peace N.; Suh, Ji Ho; Halder, Tripti; Edwards, Price T.; Foong, Jaime P. P.; Conner, Margaret E.; Preidis, Geoffrey A.",Early-life malnutrition causes gastrointestinal dysmotility that is sexually dimorphic,Neurogastroenterology and Motility,1350-1925,e13936,12,32,Studies that met inclusion criteria and were included in analysis,,
,2021,"Baldassarre, Laura; Levy, Shani; Bar-Shalom, Rinat; Steindler, Laura; Lotan, Tamar; Fraune, Sebastian",Contribution of Maternal and Paternal Transmission to Bacterial Colonization in Nematostella vectensis,Frontiers in Microbiology,,726795,,12,Studies that met inclusion criteria and were included in analysis,,
,2021,"Bunker, M. E.; Elliott, G.; Heyer-Gray, H.; Martin, M. O.; Arnold, A. E.; Weiss, S. L.",Vertically transmitted microbiome protects eggs from fungal infection and egg failure,Animal Microbiome,2524-4671,43,1,3,Studies that met inclusion criteria and were included in analysis,,
,2021,"De Santis, Stefania; Scarano, Aurelia; Liso, Marina; Calabrese, Francesco Maria; Verna, Giulio; Cavalcanti, Elisabetta; Sila, Annamaria; Lippolis, Antonio; De Angelis, Maria; Santino, Angelo; Chieppa, Marcello",Polyphenol Enriched Diet Administration During Pregnancy and Lactation Prevents Dysbiosis in Ulcerative Colitis Predisposed Littermates,Frontiers in Cellular and Infection Microbiology,2235-2988,622327,,11,Studies that met inclusion criteria and were included in analysis,,
,2021,"Fonseca, Wendy; Malinczak, Carrie-Anne; Fujimura, Kei; Li, Danny; McCauley, Kathryn; Li, Jia; Best, Shannon K. K.; Zhu, Diana; Rasky, Andrew J.; Johnson, Christine C.; Bermick, Jennifer; Zoratti, Edward M.; Ownby, Dennis; Lynch, Susan; Lukacs, Nicholas W.; Ptaschinski, Catherine",Maternal gut microbiome regulates immunity to RSV infection in offspring,Journal of Experimental Medicine,0022-1007,e20210235,11,218,Studies that met inclusion criteria and were included in analysis,,
,2021,"Grecco, Gregory G.; Gao, Yong; Gao, Hongyu; Liu, Yunlong; Atwood, Brady K.",Prenatal opioid administration induces shared alterations to the maternal and offspring gut microbiome: A preliminary analysis,Drug and Alcohol Dependence,1879-0046,108914,,227,Studies that met inclusion criteria and were included in analysis,,
,2021,"Green, Emily A.; Smedley, Scott R.; Klassen, Jonathan L.",North American Fireflies Host Low Bacterial Diversity,Microbial Ecology,0095-3628,793-804,3,82,Studies that met inclusion criteria and were included in analysis,,
,2021,"Haque, Manjurul; Koski, Kristine G.; Scott, Marilyn E.",A gastrointestinal nematode in pregnant and lactating mice alters maternal and neonatal microbiomes,International Journal for Parasitology,0020-7519,945-957,11,51,Studies that met inclusion criteria and were included in analysis,,
,2021,"Hebert, Jenna C.; Radford-Smith, Daniel E.; Probert, Fay; Ilott, Nicholas; Chan, Ka Wai; Anthony, Daniel C.; Burnet, Philip W. J.",Mom's diet matters: Maternal prebiotic intake in mice reduces anxiety and alters brain gene expression and the fecal microbiome in offspring,Brain Behavior and Immunity,0889-1591,230-244,,91,Studies that met inclusion criteria and were included in analysis,,
,2021,"Hummel, Gwendolynn; Woodruff, Kelly; Austin, Kathleen; Knuth, Ryan; Lake, Scott; Cunningham-Hollinger, Hannah",Late Gestation Maternal Feed Restriction Decreases Microbial Diversity of the Placenta While Mineral Supplementation Improves Richness of the Fetal Gut Microbiome in Cattle,Animals,2076-2615,2219,8,11,Studies that met inclusion criteria and were included in analysis,,
,2021,"Kemp, Keri M.; Colson, Jackson; Lorenz, Robin G.; Maynard, Craig L.; Pollock, Jennifer S.",Early life stress in mice alters gut microbiota independent of maternal microbiota inheritance,"American Journal of Physiology. Regulatory, Integrative and Comparative Physiology",1522-1490,R663-R674,5,320,Studies that met inclusion criteria and were included in analysis,,
,2021,"Law, Kayla; Lozinski, Brigit; Torres, Ivanellis; Davison, Samuel; Hilbrands, Adrienne; Nelson, Emma; Parra-Suescun, Jaime; Johnston, Lee; Gomez, Andres",Disinfection of Maternal Environments Is Associated with Piglet Microbiome Composition from Birth to Weaning,mSphere,,e00663-21,5,6,Studies that met inclusion criteria and were included in analysis,,
,2021,"Liu, Bo; Song, Changyou; Gao, Qiang; Liu, Bo; Zhou, Qunlan; Sun, Cunxin; Zhang, Huimin; Liu, Mingyang; Tadese, Dawit Adisu",Maternal and environmental microbes dominate offspring microbial colonization in the giant freshwater prawn Macrobrachium rosenbergii,Science of the Total Environment,0048-9697,148062,,790,Studies that met inclusion criteria and were included in analysis,,
,2021,"Luehrmann, Anja; Ovadenko, Ksenia; Hellmich, Justinus; Sudendey, Christoph; Belik, Vitaly; Zentek, Juergen; Vahjen, Wilfried",Characterization of the fecal microbiota of sows and their offspring from German commercial pig farms,Plos One,1932-6203,e0256112,8,16,Studies that met inclusion criteria and were included in analysis,,
,2021,"Mika, Katelyn; Okamoto, Alexander S.; Shubin, Neil H.; Mark Welch, David B.",Bacterial community dynamics during embryonic development of the little skate (Leucoraja erinacea),Animal Microbiome,2524-4671,72,1,3,Studies that met inclusion criteria and were included in analysis,,
,2021,"Nishino, Takanori; Hosokawa, Takahiro; Meng, Xian-Ying; Koga, Ryuichi; Moriyama, Minoru; Fukatsu, Takema","Environmental Acquisition of Gut Symbiotic Bacteria in the Saw-toothed Stinkbug, Megymenum gracilicorne (Hemiptera: Pentatomoidea: Dinidoridae)",Zoological Science,0289-0003,213-222,3,38,Studies that met inclusion criteria and were included in analysis,,
,2021,"Owens, Connor E.; Huffard, Haley G.; Nin-Velez, Alexandra; Duncan, Jane; Teets, Chrissy L.; Daniels, Kristy M.; Ealy, Alan D.; James, Robert E.; Knowlton, Katharine F.; Cockrum, Rebecca R.",Microbiomes of Various Maternal Body Systems Are Predictive of Calf Digestive Bacterial Ecology,Animals,2076-2615,2210,8,11,Studies that met inclusion criteria and were included in analysis,,
,2021,"Su, Junhao; Duan, Xinhao; Qiu, Yu; Zhou, Lixiao; Zhang, Hongyang; Gao, Min; Liu, Yijun; Zou, Zhen; Qiu, Jingfu; Chen, Chengzhi",Pregnancy exposure of titanium dioxide nanoparticles causes intestinal dysbiosis and neurobehavioral impairments that are not significant postnatally but emerge in adulthood of offspring,Journal of Nanobiotechnology,,234,1,19,Studies that met inclusion criteria and were included in analysis,,
,2021,"Wu, Yujun; Zhang, Xiangyu; Pi, Yu; Han, Dandan; Feng, Cuiping; Zhao, Junying; Chen, Lijun; Che, Dongsheng; Bao, Hongxing; Xie, Zhengjun; Wang, Junjun","Maternal galactooligosaccharides supplementation programmed immune defense, microbial colonization and intestinal development in piglets",Food & Function,2042-6496,7260-7270,16,12,Studies that met inclusion criteria and were included in analysis,,
,2021,"Afroz, Kazi Farhana; Reyes, Noah; Young, Kobe; Parikh, Kajal; Misra, Varsha; Alvina, Karina",Altered gut microbiome and autism like behavior are associated with parental high salt diet in male mice,Scientific Reports,2045-2322,8364,1,11,Studies that met inclusion criteria and were included in analysis,,
,2021,"Hall, H. N.; Wilkinson, D. J.; Le Bon, M.",Oregano essential oil improves piglet health and performance through maternal feeding and is associated with changes in the gut microbiota,Animal Microbiome,2524-4671,2,1,3,Studies that met inclusion criteria and were included in analysis,,
,2021,"Miyoshi, Jun; Miyoshi, Sawako; Delmont, Tom O.; Cham, Candace; Lee, Sonny T. M.; Sakatani, Aki; Yang, Karen; Shan, Yue; Kennedy, Megan; Kiefl, Evan; Yousef, Mahmoud; Crosson, Sean; Sogin, Mitchell; Antonopoulos, Dionysios A.; Eren, A. Murat; Leone, Vanessa; Chang, Eugene B.",Early-Life Microbial Restitution Reduces Colitis Risk Promoted by Antibiotic-Induced Gut Dysbiosis in Interleukin 10(-/-) Mice,Gastroenterology,0016-5085,940-+,3,161,Studies that met inclusion criteria and were included in analysis,,
