NUMBER,YEAR,AUTHOR,TITLE,SPECIES,TAXA,WILDLIFE,REPRO,PCARE,SEQUENCING,DESIGN,FUNCTION,ENVIRON,PHEN,MOM_REGION,O_REGION,OVERLAP,SHANNON,OTU,PCOA,BC,UNIFRAC,PERMANOVA,NOTES,,,,,,
11,2016,"Li, Zhipeng; Wright, Andre-Denis G.; Si, Huazhe; Wang, Xiaoxu; Qian, Wenxi; Zhang, Zhigang; Li, Guangyu",Changes in the rumen microbiome and metabolites reveal the effect of host genetics on hybrid crosses,Multiple species,Mammal,Y,Viviparous,Y,Illumina Miseq,Experimental,Y,N,N,Rumen fluid,Rumen fluid,Y,Y,Y,N,Y,N,N,Used sika deer (Cervus nippon) and elk (Cervus elaphus) to produce hybrid offspring; used a PCA,,,,,,
12,2016,"Martinez-Garcia, Angela; Martin-Vivaldi, Manuel; Ruiz-Rodriguez, Magdalena; Martinez-Bueno, Manuel; Arco, Laura; Rodriguez-Ruano, Sonia M.; Manuel Peralta-Sanchez, Juan; Jose Soler, Juan",The Microbiome of the Uropygial Secretion in Hoopoes Is Shaped Along the Nesting Phase,Upupa epops,Bird,Y,Oviparous,Y,ARISA,Experimental,N,N,N,Uropygial gland,Uropygial gland,Y,N,Y,Y,N,N,Y,"Did not measure weight of offspring, but sampled from mothers,stepmothers,offspring, and siblings",,,,,,
13,2016,"Shukla, Shantanu P.; Sanders, Jon G.; Byrne, Marcus J.; Pierce, Naomi E.",Gut microbiota of dung beetles correspond to dietary specializations of adults and larvae,Multiple species,Invertebrate,Y,Oviparous,N,Illumina Miseq,Observational,Y,Y,N,Multiple regions,Multiple regions,Y,N,Y,Y,N,Y,N,Utilized two species: Euoniticellus intermedius and Euoniticellust riangulatus;collected from maternal gut and whole body as well as egg and larval guts; used modified Shannon diversity index,,,,,,
14,2016,"Staudacher, Heike; Kaltenpoth, Martin; Breeuwer, Johannes A. J.; Menken, Steph B. J.; Heckel, David G.; Groot, Astrid T.",Variability of Bacterial Communities in the Moth Heliothis virescens Indicates Transient Association with the Host,Heliothis virescens ,Invertebrate,Y,Oviparous,N,Pyrosequencing,Experimental,N,N,N,Gut,Whole egg,Y,Y,Y,Y,N,Y,N,Used Bacterial tag-encoded FLX amplicon pyrosequencing (bTEFAP); compared mothers and eggs across 3 diet treatments,,,,,,
15,2017,"Jasarevic, Eldin; Howard, Christopher D.; Misic, Ana M.; Beiting, Daniel P.; Bale, Tracy L.",Stress during pregnancy alters temporal and spatial dynamics of the maternal and offspring microbiome in a sex-specific manner,Mus musculus,Mammal,N,Viviparous,Y,Illumina Miseq,Experimental,Y,N,Y,Multiple regions,Gut,Y,Y,Y,Y,N,Y,Y,Collected from maternal feces and vaginas; used unweighted Unifrac distances,,,,,,
16,2017,"Kreisinger, Jakub; Kropáčková, Lucie; Petrželková, Adéla; Adámková, Marie; Tomášek, Oldřich; Martin, Jean-François; Michálková, Romana; Albrecht, Tomáš",Temporal Stability and the Effect of Transgenerational Transfer on Fecal Microbiota Structure in a Long Distance Migratory Bird,Hirundo rustica,Bird,Y,Oviparous,Y,Illumina Miseq,Observational,Y,N,N,Fecal,Fecal,Y,Y,Y,Y,Y,Y,Y,"Used distanced-based MANOVA (adonis function, vegan R package)",,,,,,
17,2017,"Leite, Deborah C. A.; Leao, Pedro; Garrido, Amana G.; Lins, Ulysses; Santos, Henrique F.; Pires, Debora O.; Castro, Clovis B.; van Elsas, Jan D.; Zilberberg, Carla; Rosado, Alexandre S.; Peixoto, Raquel S.",Broadcast Spawning Coral Mussismilia hispida Can Vertically Transfer its Associated Bacterial Core,Mussismilia hispida,Invertebrate,Y,Other,N,PCR-DGGE,Observational,N,Y,N,Multiple regions,Whole body,Y,N,Y,N,Y,Y,Y,Collected from parental polyps and gametes; used ion torrent PGM sequencing; following DGGE; used non-metric scaling (NMS); used Chao1,,,,,,
18,2017,"Zhou, Guowei; Cai, Lin; Yuan, Tao; Tian, Renmao; Tong, Haoya; Zhang, Weipeng; Jiang, Lei; Guo, Minglan; Liu, Sheng; Qian, Pei-Yuan; Huang, Hui",Microbiome dynamics in early life stages of the scleractinian coral Acropora gemmifera in response to elevated pCO(2),Acropora gemmifera,Invertebrate,Y,Other,N,Illumina Miseq,Observational,N,Y,N,Multiple regions,Multiple regions,Y,Y,Y,Y,Y,N,Y,Collected from parental polyps and gametes as well as egg and whole body of larvae; experimentally treated offspring,,,,,,
19,2018,"Alipour, M.J., Jalanka, J., Pessa-Morikawa, T. et al. ",The composition of the perinatal intestinal microbiota in cattle,Bos taurus taurus,Mammal,N,Viviparous,Y,Illumina Miseq,Observational,N,N,N,Multiple regions,Fecal,Y,Y,Y,Y,Y,N,N,"Collected maternal fecal, vaginal and oral microbiota; technically collected ""rectal microbiota"" from offspring",,,,,,
20,2018,"Antwis, Rachael E.; Lea, Jessica M. D.; Unwin, Bryony; Shultz, Susanne",Gut microbiome composition is associated with spatial structuring and social interactions in semi-feral Welsh Mountain ponies,Equus ferus caballus,Mammal,Y,Viviparous,Y,Illumina Miseq,Observational,N,N,N,Fecal,Fecal,N,N,N,N,Y,N,Y,"Used NMDS plot, Bray Curtis, PERMANOVA, Jensen-Shannon Divergence, and sequence variants (SVs); did not really talk about overlapping SVs between mother-offspring pairs",,,,,,
21,2018,"Chen, Xue; Xu, Jumei; Ren, Erdou; Su, Yong; Zhu, Weiyun",Co-occurrence of early gut colonization in neonatal piglets with microbiota in the maternal and surrounding delivery environments,Sus scrofa domesticus,Mammal,N,Viviparous,Y,Illumina Miseq,Observational,Y,Y,N,Multiple regions,Fecal,Y,Y,Y,N,Y,N,N,"Collected from maternal feces, nipple surface, milk, and vagina; collected from floor; very clean description of methods; used NMDS plot and predicted molecular functions using PICRUSt",,,,,,
22,2018,"Friedman, Jacob E.; Dobrinskikh, Evgenia; Alfonso-Garcia, Alba; Fast, Alexander; Janssen, Rachel C.; Soderborg, Taylor K.; Anderson, Aimee L.; Reisz, Julie A.; D'Alessandro, Angelo; Frank, Daniel N.; Robertson, Charles E.; de la Houssaye, Becky A.; Johnson, Linda K.; Orlicky, David J.; Wang, Xiaoxin X.; Levi, Moshe; Potma, Eric O.; El Kasmi, Karim C.; Jonscher, Karen R.",Pyrroloquinoline Quinone Prevents Developmental Programming of Microbial Dysbiosis and Macrophage Polarization to Attenuate Liver Fibrosis in Offspring of Obese Mice,Mus musculus,Mammal,N,Viviparous,Y,Illumina Miseq,Experimental,Y,N,Y,Fecal,Fecal,Y,N,Y,N,N,N,N,Did not appear to measure alpha or beta diversity,,,,,,
23,2018,"Guo, Yanjie; Wang, Zhenling; Chen, Liang; Tang, Li; Wen, Shu; Liu, Yinhui; Yuan, Jieli",Diet induced maternal obesity affects offspring gut microbiota and persists into young adulthood,Mus musculus,Mammal,N,Viviparous,Y,Illumina Miseq,Experimental,N,N,Y,Fecal,Fecal,Y,Y,Y,Y,N,Y,N,"Analyzed microbiota by litter size, body weight, serum, and sex in offspring; measured serum levels, but did not correlate to microbiota",,,,,,
24,2018,"Hasan, Shah; Junnikkala, Sami; Peltoniemi, Olli; Paulin, Lars; Lyyski, Annina; Vuorenmaa, Juhani; Oliviero, Claudio",Dietary supplementation with yeast hydrolysate in pregnancy influences colostrum yield and gut microbiota of sows and piglets after birth,Sus scrofa domesticus,Mammal,N,Viviparous,Y,Illumina Miseq,Experimental,N,N,Y,Fecal,Fecal,Y,Y,Y,N,Y,N,N,Used ANOSIM and PCA,,,,,,
25,2018,"Jasarevic, Eldin; Howard, Christopher D.; Morrison, Kathleen; Misic, Ana; Weinkopff, Tiffany; Scott, Phillip; Hunter, Christopher; Beiting, Daniel; Bale, Tracy L.",The maternal vaginal microbiome partially mediates the effects of prenatal stress on offspring gut and hypothalamus,Mus musculus,Mammal,N,Viviparous,Y,Illumina Miseq,Experimental,Y,N,Y,Vaginal fluid,Gut,Y,Y,Y,Y,Y,N,Y,Did both 16S and WGS (on offspring colon only); used unweighted unifrac distances,,,,,,
26,2018,"Maradiaga, Nidia; Aldridge, Brian; Zeineldin, Mohamed; Lowe, James",Gastrointestinal microbiota and mucosal immune gene expression in neonatal pigs reared in a cross-fostering model,Sus scrofa domesticus,Mammal,N,Viviparous,Y,Illumina Miseq,Experimental,Y,N,Y,Multiple regions,Multiple regions,Y,Y,Y,N,N,N,N,"Collected from milk, feces, and vagina of sows; collected from feces and gut of piglets; used linear discriminant analysis (LDA) to evaluate beta diversity",,,,,,
27,2018,"Martin-Vivaldi, Manuel; Jose Soler, Juan; Martinez-Garcia, Angela; Arco, Laura; Juarez-Garcia-Pelayo, Natalia; Ruiz-Rodriguez, Magdalena; Martinez-Bueno, Manuel",Acquisition of Uropygial Gland Microbiome by Hoopoe Nestlings,Upupa epops,Bird,Y,Oviparous,Y,ARISA,Experimental,N,N,N,Uropygial gland,Uropygial gland,Y,N,Y,Y,N,N,N,Used a repeated measured MANOVA,,,,,,
28,2018,"McCormack, Ursula M.; Curião, Tânia; Wilkinson, Toby; Metzler-Zebeli, Barbara U.; Reyer, Henry; Ryan, Tomas; Calderon-Diaz, Julia A.; Crispie, Fiona; Cotter, Paul D.; Creevey, Christopher J.; Gardiner, Gillian E.; Lawlor, Peadar G.",Fecal Microbiota Transplantation in Gestating Sows and Neonatal Offspring Alters Lifetime Intestinal Microbiota and Growth in Offspring,Sus scrofa domesticus,Mammal,N,Viviparous,Y,Illumina Miseq,Experimental,Y,N,Y,Multiple regions,Multiple regions,Y,Y,Y,N,N,N,N,Collected from sow colostrum and feces; collected from offspring feces and gut; attempted to describe functionality using PICRUSt; used prinicpal component analysis,,,,,,
29,2018,"Robertson, Ruairi C.; Kaliannan, Kanakaraju; Strain, Conall R.; Ross, R. Paul; Stanton, Catherine; Kang, Jing X.",Maternal omega-3 fatty acids regulate offspring obesity through persistent modulation of gut microbiota,Mus musculus,Mammal,N,Viviparous,Y,Illumina Miseq,Experimental,Y,N,Y,Fecal,Fecal,Y,Y,Y,Y,Y,N,Y,Attemped to describe functionality through network analysis with metabolism/16S,,,,,,
30,2018,"Shukla, Shantanu P.; Vogel, Heiko; Heckel, David G.; Vilcinskas, Andreas; Kaltenpoth, Martin",Burying beetles regulate the microbiome of carcasses and use it to transmit a core microbiota to their offspring,Nicrophorus vespilloides,Invertebrate,Y,Oviparous,Y,Pyrosequencing,Experimental,N,Y,N,Multiple regions,Gut,Y,Y,Y,N,N,Y,N,"Considered to exhibit parental care; oral/anal secretions and guts were collected from mothers; used bacterial tag-encoded FLX amplicon pyrosequencing (bTEFAP); used NMDS, unweighted unifrac, and repeated measures ANOVA; also used qPCR for bacterial abundance",,,,,,
31,2018,"Srinivasan, Shyam Prakaash Bhagavata; Raipuria, Mukesh; Bahari, Hasnah; Kaakoush, Nadeem O.; Morris, Margaret J.",Impacts of Diet and Exercise on Maternal Gut Microbiota Are Transferred to Offspring,Rattus norvegicus,Mammal,N,Viviparous,Y,Illumina Miseq,Experimental,Y,N,Y,Fecal,Fecal,Y,Y,Y,N,Y,N,Y,"Says the ""composition of gut microbial communities was analyzed by Illumina…"" but only extracted DNA from feces; used multiple beta-diversity measures (PERMANOVA, NMDS, and PERMDISP)",,,,,,
32,2018,"van Veelen, H. P. J., Salles, J. F., & Tieleman, B. I.",Microbiome assembly of avian eggshells and their potential as transgenerational carriers of maternal microbiota,Multiple species,Bird,Y,Oviparous,Y,Illumina Miseq,Observational,N,Y,N,Multiple regions,Eggshell,Y,Y,Y,Y,Y,Y,Y,"Utilized two species (Lullula arborea, Alauda arvensis); collected from maternal cloacae, brood patch, and freathers; collected from nest material and soil; used SourceTracker",,,,,,
33,2018,"Wilches, D. M.; Laird, R. A.; Fields, P. G.; Coghlin, P.; Floate, K. D.","Spiroplasma dominates the microbiome of khapra beetle: comparison with a congener, effects of life stage and temperature",Trogoderma granarium,Invertebrate,Y,Oviparous,N,Illumina Miseq,Observational,N,N,N,Whole body,Multiple regions,Y,Y,Y,Y,N,Y,Y,"Collected from eggs, larvae, and pupae of only T. granarium; PERMANOVA is also called 'adonis'; not great comparison between adult/egg/larvae (did not visualize relative abundance)",,,,,,
34,2018,"Yeoman, Carl J.; Ishaq, Suzanne L.; Bichi, Elena; Olivo, Sarah K.; Lowe, James; Aldridge, Brian M.",Biogeographical Differences in the Influence of Maternal Microbial Sources on the Early Successional Development of the Bovine Neonatal Gastrointestinal tract,Bos taurus taurus,Mammal,N,Viviparous,Y,Illumina Miseq,Observational,N,N,N,Multiple regions,Multiple regions,Y,Y,Y,N,Y,Y,Y,"Collected from fecel and gut of offspring; collected from maternal colostrum, skin, and vagina; used NMDS; included calf age in model (but did not consider this a 'phenotype')",,,,,,
35,2019,"Beemelmanns, Anne; Poirier, Maude; Bayer, Till; Kuenzel, Sven; Roth, Olivia",Microbial embryonal colonization during pipefish male pregnancy,Syngnathus typhle,Fish,Y,Viviparous,Y,Illumina Miseq,Experimental,N,N,N,Gonads,Embryos,Y,Y,Y,Y,Y,N,Y,Embryos were swabbed throughout development while still inside parent and I considered this to be sampling from offspring; considered to exhibit parental care; considered to be 'live-bearers''; sampled from brood pouch of non-pregnant fathers and I only considered mothers here,,,,,,
36,2019,"Bernasconi, Rachele; Stat, Michael; Koenders, Annette; Paparini, Andrea; Bunce, Michael; Huggett, Megan J.",Establishment of Coral-Bacteria Symbioses Reveal Changes in the Core Bacterial Community With Host Ontogeny,Acropora digitifera,Invertebrate,Y,Other,N,Illumina Miseq,Experimental,N,Y,N,Multiple regions,Whole body,Y,Y,Y,N,Y,N,Y,Collected from parental tissues and gametes; collected from whole tissue larvae and juveniles; used NMDS,,,,,,
37,2019,"Bjoerk, Johannes R.; Diez-Vives, Cristina; Astudillo-Garcia, Carmen; Archie, Elizabeth A.; Montoya, Jose M.",Vertical transmission of sponge microbiota is inconsistent and unfaithful,Multiple species,Invertebrate,Y,Other,N,Illumina Hiseq,Observational,N,Y,N,Tissue excise,Whole body,Y,N,N,Y,Y,N,N,"Utilized multiple species: Aplysina aerophoba, Ircinia oros, Ircinia fasciculata, Crambe crambe, Cliona viridis, Dysidea avara, Hemimycale columella, Oscarella lobularis; used ASVs and NMDS; could not find information on alpha diversity metrics used","Ircinia fasciculata, Ircinia fasciculata",Crambe crambe,Cliona viridis,Dysidea avara,Hemimycale columella,Oscarella lobularis
38,2019,"Epstein, Hannah E.; Torda, Gergely; Munday, Philip L.; van Oppen, Madeleine J. H.",Parental and early life stage environments drive establishment of bacterial and dinoflagellate communities in a common coral,Pocillopora damicornis,Invertebrate,Y,Other,N,Illumina Miseq,Experimental,N,Y,N,Tissue excise,Whole body,N,Y,N,N,N,N,Y,Used ASVs; Shannon shown in figure; do not really describe overlap in taxa between parent/offspring,,,,,,
39,2019,"Grosser, Stefanie; Sauer, Jan; Paijmans, Anneke J.; Caspers, Barbara A.; Forcada, Jaume; Wolf, Jochen B. W.; Hoffman, Joseph I.","Fur seal microbiota are shaped by the social and physical environment, show mother-offspring similarities and are associated with host genetic quality",Arctocephalus gazella,Mammal,Y,Viviparous,Y,Illumina Miseq,Observational,Y,N,N,Cheek skin,Cheek skin,Y,Y,Y,Y,Y,Y,N,Used ANOSIM,,,,,,
40,2019,"Jennings, Emily C.; Korthauer, Matthew W.; Hamilton, Trinity L.; Benoit, Joshua B.","Matrotrophic viviparity constrains microbiome acquisition during gestation in a live-bearing cockroach, Diploptera punctata",Diploptera punctata,Invertebrate,Y,Viviparous,Y,Illumina Miseq,Observational,N,N,N,Whole body,Multiple regions,Y,Y,Y,Y,N,Y,N,Considered to exhibit parental care; collected eggs and nymphs; not clear on beta diversity analyses,,,,,,
41,2019,"Klein-Jöbstl, Daniela, Narciso M. Quijada, Monika Dzieciol, Benjamin Feldbacher, Martin Wagner, Marc Drillich, Stephan Schmitz-Esser, and Evelyne Mann",Microbiota of newborn calves and their mothers reveals possible transfer routes for newborn calves’ gastrointestinal microbiota,Bos taurus taurus,Mammal,N,Viviparous,Y,Illumina Miseq,Observational,N,N,N,Multiple regions,Multiple regions,Y,Y,Y,Y,N,Y,N,"Collected colostrum, feces, and vaginal swab from mothers; collected oral swab and feces across time from offspring",,,,,,
42,2019,"Korach-Rechtman, Hila; Freilich, Shay; Gerassy-Vainberg, Shiran; Buhnik-Rosenblau, Keren; Danin-Poleg, Yael; Bar, Haim; Kashi, Yechezkel",Murine Genetic Background Has a Stronger Impact on the Composition of the Gut Microbiota than Maternal Inoculation or Exposure to Unlike Exogenous Microbiota,Mus musculus,Mammal,N,Viviparous,Y,Illumina Miseq,Experimental,N,N,N,Fecal,Fecal,Y,N,Y,Y,Y,Y,N,Used Faith's phylogenetic index for alpha diversity and ANOSIM for beta diversity,,,,,,
43,2019,"Lima, Svetlana Ferreira; Bicalho, Marcela Lucas de Souza; Bicalho, Rodrigo Carvalho",The Bos taurus maternal microbiome: Role in determining the progeny early-life upper respiratory tract microbiome and health,Bos taurus taurus,Mammal,N,Viviparous,Y,Illumina Miseq,Observational,N,N,Y,Multiple regions,Multiple regions,Y,Y,Y,Y,N,Y,N,Collected from maternal vagina and feces; collected from nasopharyngeal and feces across time of offspring; used an ANOSIM; measured whether calves developed disease or not,,,,,,
44,2019,"Mason, Charles J.; Campbell, Alexander M.; Scully, Erin D.; Hoover, Kelli","Bacterial and Fungal Midgut Community Dynamics and Transfer Between Mother and Brood in the Asian Longhorned Beetle (Anoplophora glabripennis), an Invasive Xylophage",Anoplophora glabripennis,Invertebrate,Y,Oviparous,N,Illumina Miseq,Observational,N,N,N,Multiple regions,Multiple regions,Y,Y,Y,N,Y,N,Y,"Collected from female frass, oviposition secretions, and gut of adults; collected from fertilized eggs and developing larvae of offspring; used NMDS",,,,,,
45,2019,"Prince, Amanda L.; Pace, Ryan M.; Dean, Tyler; Takahashi, Diana; Kievit, Paul; Friedman, Jacob E.; Aagaard, Kjersti M.",The development and ecology of the Japanese macaque gut microbiome from weaning to early adolescence in association with diet,Macaca fuscata,Mammal,Y,Viviparous,Y,Illumina Miseq,Experimental,Y,N,N,Fecal,Fecal,Y,Y,N,N,Y,N,Y,Used ASVs and an MDS plot; included maternal weight in models but not offspring weight; included offspring age in model,,,,,,
46,2019,"Sacristan-Soriano, Oriol; Winkler, Marina; Erwin, Patrick; Weisz, Jeremy; Harriott, Olivia; Heussler, Gary; Bauer, Emily; Marsden, Brittany West; Hill, April; Hill, Malcolm","Ontogeny of symbiont community structure in two carotenoid-rich, viviparous marine sponges: comparison of microbiomes and analysis of culturable pigmented heterotrophic bacteria",Clathria prolifera ,Invertebrate,Y,Other,N,Illumina Miseq,Observational,N,Y,N,Tissue excise,Whole body,Y,N,Y,N,Y,N,Y,Two species of sponge used: Clathria prolifera and Halichondria bowerbanki; Used Simpsons' indices and NMDS,,,,,,
47,2019,"Singer, Jeffrey R.; Blosser, Emily G.; Zindl, Carlene L.; Silberger, Daniel J.; Conlan, Sean; Laufer, Vincent A.; DiToro, Daniel; Deming, Clay; Kumar, Ranjit; Morrow, Casey D.; Segre, Julia A.; Gray, Michael J.; Randolph, David A.; Weaver, Casey T.",Preventing dysbiosis of the neonatal mouse intestinal microbiome protects against late-onset sepsis,Mus musculus,Mammal,N,Viviparous,Y,Illumina Nextseq,Experimental,Y,N,Y,Multiple regions,Fecal,Y,Y,Y,Y,Y,N,N,"Collected colon contents (identified as feces, as they did not sequence colon tissue) from offspring and vaginal swabs/fecal samples from mothers; used both Illumina Miseq and Illumina Nextseq",,,,,,
48,2019,"Warren, Matthew F.; Hallowell, Haley A.; Higgins, Keah V.; Liles, Mark R.; Hood, Wendy R.",Maternal Dietary Protein Intake Influences Milk and Offspring Gut Microbial Diversity in a Rat (Rattus norvegicus) Model,Rattus norvegicus,Mammal,N,Viviparous,Y,Illumina Miseq,Experimental,N,N,N,Multiple regions,Gut,Y,Y,Y,N,Y,N,N,Collected milk and feces from mothers; used NMDS and ANOSIM,,,,,,
49,2020,"Barden, Matthew; Richards-Rios, Peter; Ganda, Erika; Lenzi, Luca; Eccles, Richard; Neary, Joseph; Oultram, Joanne; Oikonomou, Georgios",Maternal influences on oral and faecal microbiota maturation in neonatal calves in beef and dairy production systems,Bos taurus taurus,Mammal,N,Viviparous,Y,Illumina Miseq,Observational,N,N,N,Multiple regions,Multiple regions,Y,Y,N,Y,Y,Y,Y,"Compared beef and dairy cows; collected from teat-skin, milk, vaginal mucosa, faeces, and oral mucosa of mothers; collected from oral mucosa and faeces of offspring; used ASVs",,,,,,
50,2020,"Brinkerhoff, R. Jory; Clark, Chris; Ocasio, Kelly; Gauthier, David T.; Hynes, Wayne L.",Factors affecting the microbiome of Ixodes scapularis and Amblyomma americanum,Ixodes scapularis,Invertebrate,Y,Oviparous,N,Illumina Miseq,Observational,N,N,N,Whole body,Whole egg,Y,Y,Y,N,N,Y,Y,"Collected from female, male, and nymph of wild population of A. americanum (not included because maternal origin could not be identified); collected from egg mass, female, male and wild nymph in I. scapularis",,,,,,
51,2020,"Chen, Cheng-Yu; Chen, Chih-Kuan; Chen, Yi-Ying; Fang, Andrew; Shaw, Grace Tzun-Wen; Hung, Chih-Ming; Wang, Daryi",Maternal gut microbes shape the early-life assembly of gut microbiota in passerine chicks via nests,Taeniopygia guttata,Bird,Y,Oviparous,Y,Illumina Miseq,Experimental,N,Y,N,Multiple regions,Multiple regions,Y,Y,Y,N,Y,Y,N,"Collected from cloacae and gut across multiple time points of offspring; collected oral swab, gut, and crop contents of adults; collected nest and feed samples as well; used NMDS and AMOVA",,,,,,
52,2020,"Damjanovic, Katarina; Menendez, Patricia; Blackall, Linda L.; van Oppen, Madeleine J. H.",Mixed-mode bacterial transmission in the common brooding coral Pocillopora acuta,Pocillopora acuta,Invertebrate,Y,Other,N,Illumina Miseq,Observational,N,Y,N,Tissue excise,Whole body,Y,N,N,Y,Y,N,Y,Collected from larvae and recruits; used ASVs and PCoA Bray-Curtis with PERMANOVA,,,,,,
53,2020,"Damjanovic, Katarina; Menendez, Patricia; Blackall, Linda L.; van Oppen, Madeleine J. H.",Early Life Stages of a Common Broadcast Spawning Coral Associate with Specific Bacterial Communities Despite Lack of Internalized Bacteria,Acropora tenuis,Invertebrate,Y,Other,N,Illumina Miseq,Observational,N,Y,N,Tissue excise,Whole body,Y,Y,N,Y,Y,N,Y,"Collected from egg/sperm bundles as well as 4 other developmental stages (all pooled, whole body samples); used ASVs and PCoA Bray-Curtis with PERMANOVA",,,,,,
